CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   19.56%              85.1MiB / 2GiB        4.16%               8.03MB / 6.67MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   14.75%              72.07MiB / 2GiB       3.52%               12.4MB / 12.1MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        28.32%              60.78MiB / 7.237GiB   0.82%               27.9MB / 25.6MB     50.5MB / 23.1MB     13
792281940d0d        peer0.org1.example.com                        25.04%              61.72MiB / 7.237GiB   0.83%               40.7MB / 41.5MB     7.93MB / 23.1MB     13
96a31da47f12        couchdb1                                      70.05%              103.6MiB / 7.237GiB   1.40%               8.19MB / 14.5MB     63.1MB / 42.1MB     29
e6c3d04e54ee        orderer.example.com                           2.77%               21.1MiB / 7.237GiB    0.28%               6.07MB / 15.6MB     47.4MB / 17.5MB     11
1e4b47fe2bcf        couchdb                                       72.09%              103.4MiB / 7.237GiB   1.40%               10.4MB / 20.5MB     5.42MB / 42MB       29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   16.87%              90.66MiB / 2GiB       4.43%               8.47MB / 6.97MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   26.69%              78.22MiB / 2GiB       3.82%               12.9MB / 12.4MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        24.84%              61.71MiB / 7.237GiB   0.83%               29.1MB / 26.7MB     50.5MB / 23.6MB     13
792281940d0d        peer0.org1.example.com                        32.42%              62.86MiB / 7.237GiB   0.85%               41.9MB / 42.7MB     8MB / 23.6MB        13
96a31da47f12        couchdb1                                      75.67%              103.7MiB / 7.237GiB   1.40%               8.59MB / 15.2MB     63.1MB / 43MB       29
e6c3d04e54ee        orderer.example.com                           1.83%               21.11MiB / 7.237GiB   0.28%               6.22MB / 15.9MB     47.4MB / 17.8MB     11
1e4b47fe2bcf        couchdb                                       93.26%              104.6MiB / 7.237GiB   1.41%               10.9MB / 21.3MB     5.42MB / 42.9MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   16.63%              99.68MiB / 2GiB       4.87%               8.96MB / 7.37MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   20.99%              87.14MiB / 2GiB       4.25%               13.4MB / 12.8MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        28.69%              62.62MiB / 7.237GiB   0.85%               30.8MB / 28.1MB     50.5MB / 24.7MB     13
792281940d0d        peer0.org1.example.com                        27.53%              63.55MiB / 7.237GiB   0.86%               43.6MB / 44.1MB     8.05MB / 24.7MB     13
96a31da47f12        couchdb1                                      67.10%              104.6MiB / 7.237GiB   1.41%               9.13MB / 16.1MB     63.1MB / 45MB       29
e6c3d04e54ee        orderer.example.com                           1.21%               21.13MiB / 7.237GiB   0.29%               6.51MB / 16.7MB     47.4MB / 18.7MB     11
1e4b47fe2bcf        couchdb                                       84.13%              104.7MiB / 7.237GiB   1.41%               11.4MB / 22.2MB     5.42MB / 44.8MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   23.83%              99.74MiB / 2GiB       4.87%               9.48MB / 7.77MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   26.83%              87.7MiB / 2GiB        4.28%               13.9MB / 13.2MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        31.38%              63.44MiB / 7.237GiB   0.86%               32.3MB / 29.4MB     50.6MB / 25.5MB     13
792281940d0d        peer0.org1.example.com                        33.92%              64.15MiB / 7.237GiB   0.87%               45.2MB / 45.5MB     8.1MB / 25.5MB      13
96a31da47f12        couchdb1                                      79.71%              106MiB / 7.237GiB     1.43%               9.62MB / 17MB       63.1MB / 46.3MB     29
e6c3d04e54ee        orderer.example.com                           2.50%               21.14MiB / 7.237GiB   0.29%               6.72MB / 17.3MB     47.4MB / 19.3MB     11
1e4b47fe2bcf        couchdb                                       87.18%              104.3MiB / 7.237GiB   1.41%               11.9MB / 23.1MB     5.42MB / 46.2MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   30.40%              99.91MiB / 2GiB       4.88%               10MB / 8.16MB       50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   33.98%              87.35MiB / 2GiB       4.27%               14.4MB / 13.6MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        36.09%              64.4MiB / 7.237GiB    0.87%               33.9MB / 30.8MB     50.6MB / 26.2MB     14
792281940d0d        peer0.org1.example.com                        30.32%              65.57MiB / 7.237GiB   0.88%               46.7MB / 46.8MB     8.1MB / 26.2MB      13
96a31da47f12        couchdb1                                      94.87%              105.2MiB / 7.237GiB   1.42%               10.1MB / 18MB       63.1MB / 48.2MB     29
e6c3d04e54ee        orderer.example.com                           0.06%               21.16MiB / 7.237GiB   0.29%               6.89MB / 17.8MB     47.4MB / 19.9MB     11
1e4b47fe2bcf        couchdb                                       81.12%              105.3MiB / 7.237GiB   1.42%               12.4MB / 24MB       5.42MB / 48.1MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   13.43%              113.4MiB / 2GiB       5.54%               10.4MB / 8.47MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   23.36%              103MiB / 2GiB         5.03%               14.8MB / 13.9MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        20.84%              65.38MiB / 7.237GiB   0.88%               35.2MB / 31.7MB     50.7MB / 27MB       14
792281940d0d        peer0.org1.example.com                        29.47%              66.63MiB / 7.237GiB   0.90%               48MB / 47.7MB       8.1MB / 27MB        13
96a31da47f12        couchdb1                                      67.67%              104.7MiB / 7.237GiB   1.41%               10.5MB / 18.6MB     63.1MB / 48.9MB     29
e6c3d04e54ee        orderer.example.com                           1.88%               22.05MiB / 7.237GiB   0.30%               7.09MB / 18.4MB     47.4MB / 20.5MB     11
1e4b47fe2bcf        couchdb                                       94.57%              104.2MiB / 7.237GiB   1.41%               12.8MB / 24.7MB     5.42MB / 48.8MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   22.21%              113.4MiB / 2GiB       5.54%               10.9MB / 8.83MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   19.89%              103MiB / 2GiB         5.03%               15.2MB / 14.2MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        31.92%              65.67MiB / 7.237GiB   0.89%               36.6MB / 33MB       50.7MB / 27.6MB     14
792281940d0d        peer0.org1.example.com                        23.99%              66.74MiB / 7.237GiB   0.90%               49.4MB / 49MB       8.17MB / 27.6MB     13
96a31da47f12        couchdb1                                      77.74%              104.7MiB / 7.237GiB   1.41%               11MB / 19.5MB       63.1MB / 50.4MB     29
e6c3d04e54ee        orderer.example.com                           2.04%               22.05MiB / 7.237GiB   0.30%               7.25MB / 18.8MB     47.4MB / 21MB       11
1e4b47fe2bcf        couchdb                                       71.11%              105.9MiB / 7.237GiB   1.43%               13.3MB / 25.6MB     5.42MB / 50.3MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   17.96%              113.5MiB / 2GiB       5.54%               11.4MB / 9.22MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   22.16%              103.1MiB / 2GiB       5.03%               15.8MB / 14.6MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        26.18%              66.22MiB / 7.237GiB   0.89%               38.2MB / 34.3MB     50.8MB / 28.3MB     14
792281940d0d        peer0.org1.example.com                        27.90%              67.32MiB / 7.237GiB   0.91%               51MB / 50.4MB       8.2MB / 28.3MB      13
