96a31da47f12        couchdb1                                      81.26%              104.6MiB / 7.237GiB   1.41%               11.5MB / 20.4MB     63.1MB / 51.5MB     29
e6c3d04e54ee        orderer.example.com                           1.25%               22.07MiB / 7.237GiB   0.30%               7.42MB / 19.3MB     47.4MB / 21.5MB     11
1e4b47fe2bcf        couchdb                                       104.86%             104.9MiB / 7.237GiB   1.42%               13.8MB / 26.5MB     5.42MB / 51.5MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   17.21%              113.5MiB / 2GiB       5.54%               11.9MB / 9.57MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   18.48%              103.1MiB / 2GiB       5.03%               16.2MB / 15MB       122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        26.96%              66.73MiB / 7.237GiB   0.90%               39.6MB / 35.5MB     50.8MB / 29MB       14
792281940d0d        peer0.org1.example.com                        26.14%              67.73MiB / 7.237GiB   0.91%               52.4MB / 51.5MB     8.22MB / 29MB       13
96a31da47f12        couchdb1                                      84.57%              104.7MiB / 7.237GiB   1.41%               11.9MB / 21.2MB     63.1MB / 52.8MB     29
e6c3d04e54ee        orderer.example.com                           2.73%               22.09MiB / 7.237GiB   0.30%               7.61MB / 19.8MB     47.4MB / 22.1MB     11
1e4b47fe2bcf        couchdb                                       81.28%              104.9MiB / 7.237GiB   1.42%               14.3MB / 27.3MB     5.42MB / 52.8MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   16.41%              113.5MiB / 2GiB       5.54%               12.3MB / 9.86MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   18.06%              103.1MiB / 2GiB       5.03%               16.7MB / 15.3MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        26.21%              67.88MiB / 7.237GiB   0.92%               40.8MB / 36.5MB     50.8MB / 29.7MB     14
792281940d0d        peer0.org1.example.com                        30.48%              68.61MiB / 7.237GiB   0.93%               53.7MB / 52.5MB     8.32MB / 29.7MB     13
96a31da47f12        couchdb1                                      67.68%              104.6MiB / 7.237GiB   1.41%               12.3MB / 21.9MB     63.1MB / 54.3MB     29
e6c3d04e54ee        orderer.example.com                           2.41%               22.11MiB / 7.237GiB   0.30%               7.74MB / 20.2MB     47.4MB / 22.6MB     11
1e4b47fe2bcf        couchdb                                       64.76%              104.9MiB / 7.237GiB   1.42%               14.7MB / 28.1MB     5.42MB / 54.3MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   26.73%              113.6MiB / 2GiB       5.54%               12.8MB / 10.2MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   20.35%              103.1MiB / 2GiB       5.03%               17.1MB / 15.6MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        34.47%              68.35MiB / 7.237GiB   0.92%               42.1MB / 37.6MB     50.8MB / 30.2MB     14
792281940d0d        peer0.org1.example.com                        24.58%              69.36MiB / 7.237GiB   0.94%               55MB / 53.7MB       8.36MB / 30.2MB     13
96a31da47f12        couchdb1                                      96.30%              106.3MiB / 7.237GiB   1.43%               12.8MB / 22.8MB     63.1MB / 55.6MB     29
e6c3d04e54ee        orderer.example.com                           3.17%               22.12MiB / 7.237GiB   0.30%               7.84MB / 20.6MB     47.4MB / 23MB       11
1e4b47fe2bcf        couchdb                                       76.82%              104.8MiB / 7.237GiB   1.41%               15.1MB / 28.9MB     5.42MB / 55.7MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   25.09%              113.6MiB / 2GiB       5.55%               13.2MB / 10.5MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   27.70%              103.2MiB / 2GiB       5.04%               17.6MB / 15.9MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        30.96%              68.78MiB / 7.237GiB   0.93%               43.4MB / 38.7MB     50.9MB / 30.7MB     14
792281940d0d        peer0.org1.example.com                        35.89%              69.38MiB / 7.237GiB   0.94%               56.3MB / 54.7MB     8.43MB / 30.7MB     13
96a31da47f12        couchdb1                                      89.36%              105MiB / 7.237GiB     1.42%               13.2MB / 23.5MB     63.1MB / 57MB       29
e6c3d04e54ee        orderer.example.com                           0.00%               22.13MiB / 7.237GiB   0.30%               7.98MB / 21MB       47.4MB / 23.4MB     11
1e4b47fe2bcf        couchdb                                       108.81%             105.5MiB / 7.237GiB   1.42%               15.6MB / 29.7MB     5.42MB / 57MB       29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   18.65%              113.6MiB / 2GiB       5.55%               13.7MB / 10.9MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   25.88%              103.1MiB / 2GiB       5.04%               18.1MB / 16.3MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        33.65%              69.75MiB / 7.237GiB   0.94%               44.9MB / 39.9MB     50.9MB / 31.3MB     14
792281940d0d        peer0.org1.example.com                        33.72%              70.3MiB / 7.237GiB    0.95%               57.8MB / 55.9MB     8.43MB / 31.3MB     13
96a31da47f12        couchdb1                                      80.24%              106.4MiB / 7.237GiB   1.44%               13.7MB / 24.5MB     63.1MB / 57.8MB     29
e6c3d04e54ee        orderer.example.com                           0.41%               22.13MiB / 7.237GiB   0.30%               8.1MB / 21.3MB      47.4MB / 23.8MB     11
1e4b47fe2bcf        couchdb                                       80.90%              105.8MiB / 7.237GiB   1.43%               16.1MB / 30.6MB     5.42MB / 58.2MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   24.52%              113.8MiB / 2GiB       5.56%               14.2MB / 11.2MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   7.59%               103.2MiB / 2GiB       5.04%               18.6MB / 16.6MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        32.14%              70.08MiB / 7.237GiB   0.95%               46.4MB / 41MB       50.9MB / 31.8MB     14
792281940d0d        peer0.org1.example.com                        20.39%              70.44MiB / 7.237GiB   0.95%               59.1MB / 57MB       8.43MB / 31.7MB     13
96a31da47f12        couchdb1                                      80.86%              105.1MiB / 7.237GiB   1.42%               14.2MB / 25.3MB     63.1MB / 59.1MB     29
e6c3d04e54ee        orderer.example.com                           2.71%               22.26MiB / 7.237GiB   0.30%               8.25MB / 21.7MB     47.4MB / 24.3MB     11
1e4b47fe2bcf        couchdb                                       40.45%              104.1MiB / 7.237GiB   1.40%               16.5MB / 31.4MB     5.42MB / 59MB       29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   20.23%              114.1MiB / 2GiB       5.57%               14.7MB / 11.5MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   33.85%              103.7MiB / 2GiB       5.06%               19MB / 16.9MB       122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        29.19%              70.15MiB / 7.237GiB   0.95%               47.6MB / 42MB       50.9MB / 32.1MB     14
792281940d0d        peer0.org1.example.com                        35.42%              70.86MiB / 7.237GiB   0.96%               60.4MB / 58MB       8.43MB / 32.1MB     13
96a31da47f12        couchdb1                                      57.46%              105.1MiB / 7.237GiB   1.42%               14.6MB / 26.1MB     63.1MB / 60MB       29
e6c3d04e54ee        orderer.example.com                           1.91%               22.14MiB / 7.237GiB   0.30%               8.32MB / 21.9MB     47.5MB / 24.5MB     11
1e4b47fe2bcf        couchdb                                       79.04%              105.2MiB / 7.237GiB   1.42%               16.9MB / 32.2MB     5.42MB / 59.9MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   15.34%              114.2MiB / 2GiB       5.57%               15MB / 11.8MB       50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   23.97%              103.7MiB / 2GiB       5.06%               19.4MB / 17.2MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        19.92%              70.89MiB / 7.237GiB   0.96%               48.7MB / 43MB       50.9MB / 32.7MB     14
792281940d0d        peer0.org1.example.com                        27.33%              72.07MiB / 7.237GiB   0.97%               61.5MB / 58.9MB     8.43MB / 32.6MB     13
96a31da47f12        couchdb1                                      85.17%              107.5MiB / 7.237GiB   1.45%               15MB / 26.8MB       63.1MB / 62.5MB     29
e6c3d04e54ee        orderer.example.com                           0.08%               22.14MiB / 7.237GiB   0.30%               8.4MB / 22.2MB      47.8MB / 24.9MB     11
1e4b47fe2bcf        couchdb                                       91.47%              107MiB / 7.237GiB     1.44%               17.3MB / 32.9MB     5.42MB / 60.7MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   17.13%              114.2MiB / 2GiB       5.57%               15.4MB / 12.1MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   22.15%              103.7MiB / 2GiB       5.06%               19.8MB / 17.5MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        27.12%              71.15MiB / 7.237GiB   0.96%               49.8MB / 43.8MB     50.9MB / 33MB       14
792281940d0d        peer0.org1.example.com                        31.40%              72.55MiB / 7.237GiB   0.98%               62.7MB / 59.8MB     8.43MB / 33MB       13
96a31da47f12        couchdb1                                      72.53%              108.5MiB / 7.237GiB   1.46%               15.4MB / 27.5MB     63.1MB / 65.9MB     29
e6c3d04e54ee        orderer.example.com                           2.27%               22.14MiB / 7.237GiB   0.30%               8.48MB / 22.4MB     47.8MB / 25.1MB     11
1e4b47fe2bcf        couchdb                                       99.18%              110.1MiB / 7.237GiB   1.49%               17.7MB / 33.6MB     5.42MB / 64.1MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
