CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   21.22%              82.75MiB / 2GiB       4.04%               7.33MB / 7.94MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        25.97%              48.09MiB / 7.237GiB   0.65%               11.2MB / 11.1MB     50.1MB / 11.9MB     12
792281940d0d        peer0.org1.example.com                        31.30%              50.05MiB / 7.237GiB   0.68%               24.1MB / 27.1MB     7.46MB / 11.9MB     13
96a31da47f12        couchdb1                                      74.60%              101.1MiB / 7.237GiB   1.36%               3.21MB / 5.64MB     63MB / 20.1MB       29
e6c3d04e54ee        orderer.example.com                           2.11%               20.38MiB / 7.237GiB   0.27%               2.99MB / 6.92MB     47.4MB / 8.23MB     11
1e4b47fe2bcf        couchdb                                       77.56%              102.8MiB / 7.237GiB   1.39%               5.48MB / 11.7MB     5.27MB / 20.1MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   13.83%              92.05MiB / 2GiB       4.49%               3.38MB / 2.88MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   14.99%              82.83MiB / 2GiB       4.04%               7.79MB / 8.34MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        23.20%              49.74MiB / 7.237GiB   0.67%               12.9MB / 12.6MB     50.1MB / 13.2MB     12
792281940d0d        peer0.org1.example.com                        27.13%              51.11MiB / 7.237GiB   0.69%               25.7MB / 28.6MB     7.51MB / 13.2MB     13
96a31da47f12        couchdb1                                      73.49%              101.3MiB / 7.237GiB   1.37%               3.71MB / 6.48MB     63MB / 21.9MB       29
e6c3d04e54ee        orderer.example.com                           3.28%               20.4MiB / 7.237GiB    0.28%               3.35MB / 7.93MB     47.4MB / 9.3MB      11
1e4b47fe2bcf        couchdb                                       79.27%              102.2MiB / 7.237GiB   1.38%               5.98MB / 12.6MB     5.27MB / 21.9MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   5.80%               101.2MiB / 2GiB       4.94%               3.83MB / 3.28MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   28.11%              82.77MiB / 2GiB       4.04%               8.23MB / 8.72MB     122MB / 12.3kB      23
